symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry,red_flag_status,red_flag_reasons,tech_trend,tech_momentum,tech_volume,tech_relative_strength,technical_score,tech_data_coverage
DIACABS.NS,Diamond Power Infrastructure Limited,67979268096,129.0,220272281.37574896,Industrials,Specialty Industrial Machinery,PASS,,27.5,55.0,16.666666666666668,100.0,44.45833333333334,1.0
BAJAJCON.NS,Bajaj Consumer Care Limited,43267317760,331.25,354068097.000827,Consumer Defensive,Household & Personal Products,PASS,,42.5,37.5,16.666666666666668,100.0,44.45833333333334,1.0
FEDERALBNK.NS,The Federal Bank  Limited,643577937920,261.25,1992858574.160673,Financial Services,Banks - Regional,PASS,,42.5,37.5,16.666666666666668,100.0,44.45833333333334,1.0
EMSLIMITED.NS,EMS Limited,15716777984,282.8,107627958.77198587,Industrials,Engineering & Construction,PASS,,42.5,37.5,16.666666666666668,100.0,44.45833333333334,1.0
GAEL.NS,Gujarat Ambuja Exports Limited,58508025856,127.56,112409651.89663951,Consumer Defensive,Packaged Foods,PASS,,42.5,37.5,16.666666666666668,100.0,44.45833333333334,1.0
MANKIND.NS,Mankind Pharma Limited,875022843904,2117.8,1127082321.05319,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,30.0,47.5,23.333333333333336,100.0,44.41666666666667,1.0
PYRAMID.NS,Pyramid Technoplast Limited,5370452992,145.62,3242987.737123108,Consumer Cyclical,Packaging & Containers,PASS,,22.5,45.0,40.0,100.0,44.37500000000001,1.0
PUNJABCHEM.NS,Punjab Chemicals & Crop Protection Limited,12839031808,1040.0,7644270.79175822,Basic Materials,Chemicals,PASS,,22.5,45.0,40.0,100.0,44.37500000000001,1.0
NBIFIN.NS,N. B. I. Industrial Finance Company Limited,5268792832,1783.1,864952.82578125,Financial Services,Capital Markets,PASS,,35.0,32.5,36.666666666666664,100.0,44.333333333333336,1.0
AWL.NS,AWL Agri Business Limited,224402456576,173.1,581684209.0411159,Consumer Defensive,Packaged Foods,PASS,,20.0,47.5,40.0,100.0,44.25000000000001,1.0
SONATSOFTW.NS,Sonata Software Limited,66068811776,238.1,269545736.57443696,Technology,Information Technology Services,PASS,,20.0,47.5,40.0,100.0,44.25000000000001,1.0
KANSAINER.NS,Kansai Nerolac Paints Limited,147151503360,182.0,141480244.22820333,Basic Materials,Specialty Chemicals,PASS,,20.0,47.5,40.0,100.0,44.25000000000001,1.0
IDEAFORGE.NS,Ideaforge Technology Limited,17041762304,393.8,403722667.76463115,Technology,Computer Hardware,PASS,,20.0,47.5,40.0,100.0,44.25000000000001,1.0
GPIL.NS,Godawari Power And Ispat limited,161745338368,249.35,488398787.16211545,Basic Materials,Steel,PASS,,37.5,42.5,16.666666666666668,100.0,44.20833333333334,1.0
CARERATING.NS,CARE Ratings Limited,46744580096,1555.8,70361394.86941732,Financial Services,Financial Data & Stock Exchanges,PASS,,37.5,42.5,16.666666666666668,100.0,44.20833333333334,1.0
KABRAEXTRU.NS,Kabra Extrusion Technik Limited,7856832512,223.95,18320100.250240073,Industrials,Specialty Industrial Machinery,PASS,,37.5,42.5,16.666666666666668,100.0,44.20833333333334,1.0
MALLCOM.NS,Mallcom (India) Limited,6602543616,1058.1,10815475.768888347,Industrials,Security & Protection Services,PASS,,17.5,50.0,40.0,100.0,44.12500000000001,1.0
NELCO.NS,NELCO Limited,13337191424,584.25,50488931.20598755,Technology,Communication Equipment,PASS,,32.5,32.5,40.0,100.0,44.12500000000001,1.0
ARSSBL.NS,Anand Rathi Share and Stock Brokers Limited,30076755968,479.5,151739033.7739919,Financial Services,Financial Conglomerates,PASS,,43.33333333333333,35.0,16.666666666666668,100.0,44.00000000000001,1.0
PACEDIGITK.NS,Pace Digitek Limited,34974392320,162.03,162309354.46191457,Technology,Communication Equipment,PASS,,23.333333333333336,42.5,40.0,100.0,43.91666666666667,1.0
SHAREINDIA.NS,Share India Securities Limited,27976845312,127.85,151847588.2750145,Financial Services,Capital Markets,PASS,,27.5,37.5,40.0,100.0,43.87500000000001,1.0
TARSONS.NS,Tarsons Products Limited,10073361408,189.29,36297912.70071818,Healthcare,Medical Instruments & Supplies,PASS,,27.5,37.5,40.0,100.0,43.87500000000001,1.0
CNL.NS,Creative Newtech Limited,9415455744,627.0,6667558.656685384,Technology,Electronics & Computer Distribution,PASS,,30.0,50.0,16.666666666666668,100.0,43.83333333333334,1.0
SRF.NS,SRF Limited,739579985920,2495.0,1075075852.0374756,Industrials,Conglomerates,PASS,,30.0,50.0,16.666666666666668,100.0,43.83333333333334,1.0
ENGINERSIN.NS,Engineers India Limited,105562349568,187.67,3537963019.108696,Industrials,Engineering & Construction,PASS,,30.0,50.0,16.666666666666668,100.0,43.83333333333334,1.0
JSL.NS,Jindal Stainless Limited,578565898240,702.2,606926217.4947835,Basic Materials,Steel,PASS,,25.0,40.0,40.0,100.0,43.75,1.0
PTC.NS,PTC India Limited,46801874944,158.11,214870379.08241373,Utilities,Utilities - Independent Power Producers,PASS,,25.0,55.0,16.666666666666668,100.0,43.58333333333334,1.0
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,3117947813888,1352.8,4184987201.178003,Industrials,Marine Shipping,PASS,,25.0,55.0,16.666666666666668,100.0,43.58333333333334,1.0
KROSS.NS,Kross Limited,11720717312,181.69,87495902.49088491,Consumer Cyclical,Auto Parts,PASS,,25.0,55.0,16.666666666666668,100.0,43.58333333333334,1.0
TATACONSUM.NS,TATA CONSUMER PRODUCTS LIMITED,1068524699648,1079.8,1130163207.9280152,Consumer Defensive,Packaged Foods,PASS,,25.0,55.0,16.666666666666668,100.0,43.58333333333334,1.0
